label,text,preprocessing-result
Ham,Semoga sehat selalu,"['moga', 'sehat']"
Ham,SLM SEHAT SLL DARI SY DI NTT. SUKSES SLL PAK RAFI AHMAD SEK.🙏🙏,"['slm', 'sehat', 'sll', 'sy', 'ntt', 'sukses', 'sll', 'rafi', 'ahmad', 'sek']"
Ham,Hadir..moga sehat sekeluarga bos raffi..,"['hadir', 'moga', 'sehat', 'keluarga', 'bos', 'raffi']"
Ham,Si ganteng ♥️,"['si', 'ganteng']"
Ham,Si ganteng,"['si', 'ganteng']"
Spam,Rafarar meni kasep pisan...salam sehat sll y tuk keluarga A Raffi and mba Gigi,"['rafarar', 'meni', 'kasep', 'pis', 'salam', 'sehat', 'sll', 'y', 'tuk', 'keluarga', 'a', 'raffi', 'and', 'mba', 'gigi']"
Ham,Salam sehat selalu ya,"['salam', 'sehat', 'ya']"
Spam,Count me in,"['count', 'me', 'in']"
Ham,Sehat sll Aa Rafatar dn mm Gigi,"['sehat', 'sll', 'aa', 'rafatar', 'dn', 'mm', 'gigi']"
Ham,Sehat slalu mamah gigi sekeluarga...Aamiin,"['sehat', 'slalu', 'mamah', 'gigi', 'keluarga', 'aamiin']"
Ham,Sehat selalu mama gigi & keluarga,"['sehat', 'mama', 'gigi', 'keluarga']"
Ham,Sehat selalu kel RANS,"['sehat', 'kel', 'rans']"
Ham,"Gantengnya Aa🥰
Sehat sll keluarga mama gigi","['ganteng', 'aa', 'sehat', 'sll', 'keluarga', 'mama', 'gigi']"
Ham,Sehat terus ya mama gigi n AA Raffi n sukses teeus,"['sehat', 'ya', 'mama', 'gigi', 'n', 'aa', 'raffi', 'n', 'sukses', 'teeus']"
Ham,Senyum gigi,"['senyum', 'gigi']"
Ham,masyallah anak bujang mama gigi,"['masyallah', 'anak', 'bujang', 'mama', 'gigi']"
Ham,Si kembar,"['si', 'kembar']"
Ham,Cantik bgt mama gigi,"['cantik', 'bgt', 'mama', 'gigi']"
Ham,AA rafatar dan mbk gigi semoga sehat selalu,"['aa', 'rafatar', 'mbk', 'gigi', 'moga', 'sehat']"
Ham,Semoga sehat mbak Nagita,"['moga', 'sehat', 'mbak', 'nagita']"
Ham,Rafatharr,['rafatharr']
Ham,semoga sehat selalu,"['moga', 'sehat']"
Ham,Cakepp,['cakepp']
Ham,Cantiik den ganteng,"['cantiik', 'den', 'ganteng']"
Ham,Rafatar n mamah nya sehat trs y ...aamiin y rob..,"['rafatar', 'n', 'mamah', 'nya', 'sehat', 'trs', 'y', 'aamiin', 'y', 'rob']"
Ham,"Mudah2an gw sehat selalu,biar liat rafatar gedenya seperti ap,dan ortunya juga tuanya ky mana,dan masih bisa kah nyobain rezekinya sampai dia tua hehehe...","['mudah', 'an', 'gw', 'sehat', 'biar', 'liat', 'rafatar', 'gede', 'ap', 'ortunya', 'tua', 'ky', 'kah', 'nyobain', 'rezeki', 'tua', 'hehehe']"
Ham,"Bahagia slalu, aamiin yaa robbal aalamiin","['bahagia', 'slalu', 'aamiin', 'yaa', 'robbal', 'aalamiin']"
Ham,Mbak Gigi dan Adik Rafatar 😃👍,"['mbak', 'gigi', 'adik', 'rafatar']"
Ham,Semoga sehat selalu bersama keluarga kecilnya mama gigi Rafatar bersama dan cipung.,"['moga', 'sehat', 'keluarga', 'kecil', 'mama', 'gigi', 'rafatar', 'cipung']"
Ham,Sehat selalu bos,"['sehat', 'bos']"
